"Date","Order Count","Gross Sales","(Discounts)","Net Sales","Tips","Service Fees","Tax","Total Collected","(Refunds)","(Processing)","Net Total"
"Sat, Nov 20th","44","$580.15","($0.00)","$580.15","$39.00","$0.00","$51.50","$670.65","($15.24)","($20.60)","$634.81"
"Sun, Nov 21st","35","$473.24","($0.00)","$473.24","$35.00","$0.00","$42.00","$550.24","($10.88)","($15.73)","$523.63"
"Mon, Nov 22nd","36","$374.99","($0.00)","$374.99","$48.00","$0.00","$33.25","$456.24","($0.00)","($13.95)","$442.29"
"Tue, Nov 23rd","27","$235.49","($0.00)","$235.49","$23.78","$0.00","$20.87","$280.14","($0.00)","($9.49)","$270.65"
"Wed, Nov 24th","0","$0.00","($0.00)","$0.00","$0.00","$0.00","$0.00","$0.00","($0.00)","($0.00)","$0.00"
"Thu, Nov 25th","0","$0.00","($0.00)","$0.00","$0.00","$0.00","$0.00","$0.00","($0.00)","($0.00)","$0.00"
"Fri, Nov 26th","0","$0.00","($0.00)","$0.00","$0.00","$0.00","$0.00","$0.00","($0.00)","($0.00)","$0.00"
"Sat, Nov 27th","27","$275.47","($0.00)","$275.47","$5.00","$0.00","$24.45","$304.92","($19.85)","($9.00)","$276.07"
"Sun, Nov 28th","36","$442.27","($0.00)","$442.27","$2.00","$0.00","$39.30","$483.57","($0.00)","($13.38)","$470.19"
"Mon, Nov 29th","47","$469.80","($0.00)","$469.80","$0.00","$0.00","$41.85","$511.65","($4.36)","($13.85)","$493.44"
"Tue, Nov 30th","27","$253.54","($0.00)","$253.54","$0.00","$0.00","$22.64","$276.18","($14.16)","($8.05)","$253.97"
"Wed, Dec 1st","1","$2.99","($0.00)","$2.99","$0.00","$0.00","$0.18","$3.17","($3.17)","($0.14)","$-0.14"
"Thu, Dec 2nd","30","$294.43","($0.00)","$294.43","$22.00","$0.00","$26.35","$342.78","($0.00)","($10.00)","$332.78"
"Fri, Dec 3rd","40","$540.98","($0.00)","$540.98","$18.00","$0.00","$48.27","$607.25","($0.00)","($16.29)","$590.96"
"Sat, Dec 4th","34","$319.98","($0.00)","$319.98","$6.00","$0.00","$28.61","$354.59","($0.00)","($10.75)","$343.84"
"Sun, Dec 5th","43","$470.02","($0.00)","$470.02","$23.00","$0.00","$41.95","$534.97","($19.60)","($17.22)","$498.15"
"Mon, Dec 6th","37","$312.74","($0.00)","$312.74","$20.00","$0.00","$27.96","$360.70","($13.07)","($10.03)","$337.60"
"Tue, Dec 7th","30","$296.10","($0.00)","$296.10","$14.00","$0.00","$26.45","$336.55","($0.00)","($10.62)","$325.93"
"Wed, Dec 8th","27","$270.59","($0.00)","$270.59","$13.00","$0.00","$24.13","$307.72","($0.00)","($7.60)","$300.12"
"Thu, Dec 9th","34","$313.75","($0.00)","$313.75","$10.00","$0.00","$32.99","$356.74","($13.07)","($10.09)","$333.58"
"Fri, Dec 10th","15","$157.47","($0.00)","$157.47","$0.00","$0.00","$14.05","$171.52","($0.00)","($5.72)","$165.80"
"Sat, Dec 11th","45","$527.98","($0.00)","$527.98","$31.00","$0.00","$47.07","$606.05","($0.00)","($18.38)","$587.67"
